Style#	Style Desc	Division	Label	Category	Clr	Clr Desc	Color NRF	Size Range	UPC Code	Style Disc	Color Disc	Size Type	Size	Price Method	Price	MSRP	Seas	Cost	Curr
A0111300	BLACKOUT POLO S/S	01	A	1001	VIB	VIBRANT PURPLE	525	102	887215478547			XX	M	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	VIB	VIBRANT PURPLE	525	102	887215478530			XX	S	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	VIB	VIBRANT PURPLE	525	102	887215478561			XX	XL	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	VIB	VIBRANT PURPLE	525	102	887215478523			XX	XS	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	VIB	VIBRANT PURPLE	525	102	887215478578			XX	XXL	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	WHT	WHITE	100	102	887188004156			XX	L	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	WHT	WHITE	100	102	887188004231			XX	M	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	WHT	WHITE	100	102	887188004347			XX	S	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	WHT	WHITE	100	102	887188004194			XX	XL	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	WHT	WHITE	100	102	887188004293			XX	XS	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	WHT	WHITE	100	102	887188004392			XX	XXL	S	16.5	35	HO13	7.02	USD
A01213S6	TRANSFER S/S	01	A	1001	ATL	ATLANTIC	375	102	887215766880			XX	L	S	10	39.5	FA13	6.23	USD
